[Wed Jun 24 11:32:08.658285 2015] [:error] [pid 703] [client 121.42.0.19:17618] script '/root/blog/web/jiaoyou.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:32:27.681287 2015] [:error] [pid 5340] [client 121.42.0.19:24582] script '/root/blog/web/batch.common.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:32:36.629242 2015] [:error] [pid 4662] [client 121.42.0.19:26091] script '/root/blog/web/search.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:32:39.595304 2015] [:error] [pid 4662] [client 121.42.0.19:26091] script '/root/blog/web/faq.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:32:40.645496 2015] [:error] [pid 4662] [client 121.42.0.19:26091] script '/root/blog/web/user.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:33:34.770160 2015] [:error] [pid 6229] [client 121.42.0.19:30132] script '/root/blog/web/flow.php' not found or unable to stat, referer: http://121.40.239.160
[Wed Jun 24 11:34:48.888129 2015] [:error] [pid 1724] [client 121.42.0.19:45284] script '/root/blog/web/feed-proxy.php' not found or unable to stat, referer: http://liguoxian.com:80/
[Wed Jun 24 11:34:52.821761 2015] [:error] [pid 1724] [client 121.42.0.19:45284] script '/root/blog/web/akcms_keyword.php' not found or unable to stat, referer: http://121.40.239.160
[Wed Jun 24 11:35:04.631210 2015] [cgi:error] [pid 6228] [client 121.42.0.19:48709] script not found or unable to stat: /var/www/cgi-bin/authlogin.cgi, referer: http://121.40.239.160
[Wed Jun 24 11:35:05.553468 2015] [cgi:error] [pid 6228] [client 121.42.0.19:48709] script not found or unable to stat: /var/www/cgi-bin/it.cgi, referer: http://121.40.239.160
[Wed Jun 24 11:35:06.614801 2015] [cgi:error] [pid 6228] [client 121.42.0.19:48709] script not found or unable to stat: /var/www/cgi-bin/test-cgi, referer: http://121.40.239.160
[Wed Jun 24 11:35:15.561805 2015] [:error] [pid 6164] [client 121.42.0.19:50864] script '/root/blog/web/api.php' not found or unable to stat, referer: http://121.40.239.160
[Wed Jun 24 11:35:17.667012 2015] [:error] [pid 6164] [client 121.42.0.19:50864] script '/root/blog/web/api.php' not found or unable to stat, referer: http://121.40.239.160
[Wed Jun 24 11:35:47.679701 2015] [:error] [pid 6164] [client 121.42.0.19:50864] script '/root/blog/web/bigdump.php' not found or unable to stat, referer: http://121.40.239.160
[Wed Jun 24 11:35:54.698615 2015] [:error] [pid 703] [client 121.42.0.19:56748] script '/root/blog/web/api.php' not found or unable to stat, referer: http://121.40.239.160
[Wed Jun 24 11:35:57.742481 2015] [:error] [pid 703] [client 121.42.0.19:56748] script '/root/blog/web/api.php' not found or unable to stat, referer: http://121.40.239.160
[Wed Jun 24 11:35:58.667708 2015] [:error] [pid 703] [client 121.42.0.19:56748] script '/root/blog/web/flash_upload.php' not found or unable to stat, referer: http://121.40.239.160
[Wed Jun 24 11:36:08.834282 2015] [:error] [pid 703] [client 121.42.0.19:56748] script '/root/blog/web/batch.common.php' not found or unable to stat, referer: http://121.40.239.160
[Wed Jun 24 11:36:11.895466 2015] [:error] [pid 703] [client 121.42.0.19:56748] script '/root/blog/web/api.php' not found or unable to stat, referer: http://121.40.239.160
